resolution,l1_error,l2_error,lI_error,assembly_time,solve_time,total_time
128,2.71E-01,2.41E-03,2.73E-05,0.00051758,0.01293983,0.01345741
256,3.62E-01,1.64E-03,1.03E-05,0.00101996,0.10831504,0.109335
512,7.30E-01,1.70E-03,6.08E-06,0.00372362,2.63165062,2.63537424
1024,2.10E+00,2.50E-03,4.76E-06,0.01086429,25.08190525,25.09276954
2048,9.94E+00,5.98E-03,5.81E-06,0.04305833,244.7025463,244.7456046
