resolution,l1_error,l2_error,lI_error,elliptic_solve,total_time
128,8.56E-04,1.28E-03,4.28E-03,0.32,0.32
256,4.56E-04,6.26E-04,1.51E-03,0.36,0.36
512,1.14E-04,1.57E-04,3.78E-04,0.49,0.49
1024,2.76E-05,3.79E-05,9.19E-05,1.27,1.27
2048,5.86E-06,8.24E-06,2.21E-05,9.32,9.32
