resolution,l1_error,l2_error,lI_error,build_time,upwards_time,solve_time,total_time
128,2.10E-05,2.75E-05,7.44E-05,0.18917621,0.07079537,0.07199975,0.33197133
256,5.26E-06,6.87E-06,1.88E-05,0.67664013,0.29647304,0.36875233,1.3418655
512,1.32E-06,1.72E-06,4.74E-06,2.93345471,1.06912662,1.74217221,5.74475354
1024,3.29E-07,4.29E-07,1.19E-06,13.72939271,4.56391121,10.86106396,29.15436788
2048,8.22E-08,1.07E-07,2.98E-07,89.86306613,29.40428604,78.91232446,198.1796766
