resolution,l1_error,l2_error,lI_error,assembly_time,solve_time,total_time
128,2.64E-01,2.35E-03,2.71E-05,0.00051246,0.019245,0.01975746
256,2.64E-01,1.17E-03,6.73E-06,0.00067146,0.28208346,0.28275492
512,2.64E-01,5.84E-04,1.68E-06,0.00266533,9.061633,9.06429833
1024,2.64E-01,2.92E-04,4.18E-07,0.01111625,76.87756575,76.888682
2048,2.64E-01,1.46E-04,1.05E-07,0.04231129,1002.407911,1002.450222
