resolution,l1_error,l2_error,lI_error,assembly_time,solve_time,total_time
128,1.62E+00,1.98E-02,9.93E-04,0.0007535,0.02347821,0.02423171
256,1.62E+00,9.91E-03,2.71E-04,0.00299925,0.12646337,0.12946262
512,1.62E+00,4.95E-03,7.07E-05,0.01644008,1.50697271,1.52341279
1024,1.62E+00,2.47E-03,1.80E-05,0.04723258,6.10057421,6.14780679
2048,1.62E+00,1.24E-03,4.56E-06,0.19694442,40.81347471,41.01041913
