resolution,l1_error,l2_error,lI_error,assembly_time,solve_time,total_time
128,1.62E+00,1.98E-02,9.93E-04,0.00161071,0.02631558,0.02792629
256,1.62E+00,9.91E-03,2.71E-04,0.0040125,0.19480979,0.19882229
512,1.62E+00,4.95E-03,7.07E-05,0.01317046,4.98440508,4.99757554
1024,1.62E+00,2.47E-03,1.80E-05,0.0476335,61.18040883,61.22804233
2048,1.06E+01,6.40E-03,1.12E-05,0.18921013,242.9477686,243.1369788
