resolution,l1_error,l2_error,lI_error,assembly_time,solve_time,total_time
128,1.62E+00,1.98E-02,9.93E-04,0.00075438,0.04117863,0.04193301
256,1.62E+00,9.91E-03,2.71E-04,0.00450029,0.07273125,0.07723154
512,1.62E+00,4.95E-03,7.07E-05,0.01181658,0.66728838,0.67910496
1024,1.62E+00,2.47E-03,1.80E-05,0.04731771,2.33888733,2.38620504
2048,1.62E+00,1.24E-03,4.56E-06,0.18873679,106.3175422,106.506279
