resolution,l1_error,l2_error,lI_error,build_time,upwards_time,solve_time,total_time
128,6.16E-02,9.39E-02,4.70E-01,0.03736508,0.00422133,0.00272221,0.04430862
256,2.30E-02,3.55E-02,2.41E-01,0.12113033,0.00936779,0.00660342,0.13710154
512,7.09E-03,1.10E-02,1.07E-01,0.62481821,0.03859129,0.02330383,0.68671333
1024,2.10E-03,3.27E-03,4.79E-02,5.40064833,0.14082158,0.10385542,5.64532533
2048,6.08E-04,9.48E-04,2.20E-02,50.35999354,0.4741005,0.45817854,51.29227258
