resolution,l1_error,l2_error,lI_error,build_time,upwards_time,solve_time,total_time
128,1.03E-04,1.35E-04,1.08E-03,0.04537525,0.01805583,0.00711054,0.07054162
256,2.36E-05,2.96E-05,2.77E-04,0.16348517,0.05099438,0.0237855,0.23826505
512,5.87E-06,7.27E-06,7.05E-05,0.61978971,0.19113633,0.09996967,0.91089571
1024,1.51E-06,1.85E-06,1.78E-05,3.07736983,0.733464,0.46936308,4.28019691
2048,4.01E-07,4.80E-07,4.46E-06,16.11364729,2.91152421,2.18168054,21.20685204
