resolution,l1_error,l2_error,lI_error,assembly_time,solve_time,total_time
128,2.64E-01,2.35E-03,2.73E-05,0.000177,0.00784992,0.00802692
256,2.64E-01,1.17E-03,6.83E-06,0.00070363,0.0226655,0.02336913
512,2.64E-01,5.84E-04,1.73E-06,0.00262075,0.80120788,0.80382863
1024,2.64E-01,3.09E-04,6.01E-07,0.01060067,2.42591983,2.4365205
2048,2.64E-01,1.56E-04,1.62E-07,0.04254488,14.76834108,14.81088596
