resolution,l1_error,l2_error,lI_error,assembly_time,solve_time,total_time
128,2.64E-01,2.35E-03,2.71E-05,0.00039183,0.03668713,0.03707896
256,2.64E-01,1.17E-03,6.73E-06,0.00195583,0.06770117,0.069657
512,2.64E-01,5.84E-04,1.68E-06,0.00283446,0.14018454,0.143019
1024,2.64E-01,2.92E-04,4.18E-07,0.01087729,0.59680554,0.60768283
2048,2.64E-01,1.46E-04,1.05E-07,0.04808596,2.702482,2.75056796
