resolution,l1_error,l2_error,lI_error,solve_time,total_time
128,1.31E-01,1.40E-03,2.93E-05,0.02176046,0.02176046
256,1.31E-01,6.98E-04,7.24E-06,0.21016962,0.21016962
512,1.31E-01,3.49E-04,1.80E-06,7.80369421,7.80369421
1024,1.33E-01,1.76E-04,4.53E-07,61.17327513,61.17327513
2048,1.68E+03,1.01E+00,9.88E-04,233.1291099,233.1291099
