resolution,l1_error,l2_error,lI_error,solve_time,total_time
128,1.31E-01,1.40E-03,2.93E-05,0.02760208,0.02760208
256,1.31E-01,6.98E-04,7.24E-06,0.05046804,0.05046804
512,1.31E-01,3.48E-04,1.80E-06,0.20164462,0.20164462
1024,1.31E-01,1.74E-04,4.50E-07,0.65903454,0.65903454
2048,1.31E-01,8.70E-05,1.12E-07,2.9712155,2.9712155
