resolution,l1_error,l2_error,lI_error,assembly_time,solve_time,total_time
128,2.64E-01,2.35E-03,2.71E-05,0.00017717,0.00786508,0.00804225
256,2.64E-01,1.17E-03,6.73E-06,0.00066892,0.05324113,0.05391005
512,2.64E-01,5.84E-04,1.68E-06,0.00404308,1.88923683,1.89327991
1024,2.64E-01,2.92E-04,4.18E-07,0.01072079,6.29488017,6.30560096
2048,2.64E-01,1.46E-04,1.05E-07,0.04309858,38.83325717,38.87635575
